azouta,  , f ,azoute ,
azoute,  , m ,azouta ,
azuído, azuída , a ,azourido ,
B,  , sb ,boro ,
Ba,  , sb ,bario ,
babadeiro,  , m ,babeiro ,
babear,  , i ,babexar ,
babeiro,  , m ,babadeiro ,
babexar,  , i ,babear ,
babuña,  , f ,babuxa ,
babuñar,  , i ,babuxar ,
babuxa,  , f ,babuña ,
babuxar,  , i ,babuñar ,
bacaladilla,  , f ,lirio3> ,
bacalao,  , m ,bacallau> ,
bácaro,  , m ,bácoro=> ,
bacarrá,  , m ,bacará1> ,
bacteri-,  , pref ,bacterio- ,gr 'bastón'
